benchmark,combo_label,block,cpu_level,other_level,n,baseline_E_J,cpu_only_dE_pct,other_only_dE_pct,predicted_dE_pct,measured_dE_pct,residual_dE_pct,predicted_dt_pct,measured_dt_pct,residual_dt_pct,status
osu,C_cpu1.0_unc0.8,C_cpu_x_uncore_grid,lit_1_0GHz,lit_0_8GHz,150,19228,+174.8,+63.4,+238.2,+175.0,-63.2,+274.0,+208.1,-65.9,ok
osu,C_cpu1.0_unc1.6,C_cpu_x_uncore_grid,lit_1_0GHz,lit_1_6GHz,150,19228,+174.8,+10.8,+185.6,+174.7,-11.0,+221.6,+207.8,-13.8,ok
osu,C_cpu1.0_unc2.3,C_cpu_x_uncore_grid,lit_1_0GHz,lit_2_3GHz,136,19228,+174.8,+0.0,+174.8,+174.4,-0.4,+207.4,+208.0,+0.6,ok
osu,C_cpu2.0_unc0.8,C_cpu_x_uncore_grid,lit_2_0GHz,lit_0_8GHz,107,19228,+37.1,+63.4,+100.5,+88.8,-11.7,+109.0,+102.7,-6.3,ok
osu,C_cpu2.0_unc1.6,C_cpu_x_uncore_grid,lit_2_0GHz,lit_1_6GHz,90,19228,+37.1,+10.8,+48.0,+44.6,-3.3,+56.7,+55.7,-1.0,ok
osu,C_cpu2.0_unc2.3,C_cpu_x_uncore_grid,lit_2_0GHz,lit_2_3GHz,90,19228,+37.1,+0.0,+37.2,+37.0,-0.2,+42.4,+42.7,+0.3,ok
osu,C_cpu3.5_unc0.8,C_cpu_x_uncore_grid,lit_3_5GHz,lit_0_8GHz,90,19228,-0.4,+63.4,+63.0,+63.0,-0.0,+66.3,+67.3,+0.9,ok
osu,C_cpu3.5_unc1.6,C_cpu_x_uncore_grid,lit_3_5GHz,lit_1_6GHz,90,19228,-0.4,+10.8,+10.4,+11.1,+0.6,+14.0,+14.5,+0.5,ok
osu,C_cpu3.5_unc2.3,C_cpu_x_uncore_grid,lit_3_5GHz,lit_2_3GHz,89,19228,-0.4,+0.0,-0.4,-0.2,+0.1,-0.3,-0.2,+0.1,ok
stream,B_cpu1.0_gpu0.4,B_cpu_x_gpu_grid,lit_1_0GHz,lit_0_4GHz,60,11113,-68.3,-16.2,-84.5,-66.4,+18.1,+0.3,-0.2,-0.5,ok
stream,B_cpu1.0_gpu1.0,B_cpu_x_gpu_grid,lit_1_0GHz,lit_1_0GHz,60,11113,-68.3,-11.2,-79.4,-69.1,+10.3,+0.3,+0.2,-0.1,ok
stream,B_cpu1.0_gpu1.6,B_cpu_x_gpu_grid,lit_1_0GHz,lit_1_6GHz,60,11113,-68.3,-10.3,-78.6,-69.3,+9.3,+0.5,+0.1,-0.3,ok
stream,B_cpu2.0_gpu0.4,B_cpu_x_gpu_grid,lit_2_0GHz,lit_0_4GHz,60,11113,-2.3,-16.2,-18.5,-12.4,+6.1,-0.1,+0.0,+0.1,ok
stream,B_cpu2.0_gpu1.0,B_cpu_x_gpu_grid,lit_2_0GHz,lit_1_0GHz,60,11113,-2.3,-11.2,-13.5,-10.3,+3.1,-0.0,-0.2,-0.2,ok
stream,B_cpu2.0_gpu1.6,B_cpu_x_gpu_grid,lit_2_0GHz,lit_1_6GHz,60,11113,-2.3,-10.3,-12.6,-8.4,+4.2,+0.1,-0.1,-0.2,ok
stream,B_cpu3.5_gpu0.4,B_cpu_x_gpu_grid,lit_3_5GHz,lit_0_4GHz,60,11113,+0.7,-16.2,-15.5,-11.7,+3.8,-0.1,-0.3,-0.1,ok
stream,B_cpu3.5_gpu1.0,B_cpu_x_gpu_grid,lit_3_5GHz,lit_1_0GHz,60,11113,+0.7,-11.2,-10.5,-10.9,-0.4,-0.1,-0.2,-0.1,ok
stream,B_cpu3.5_gpu1.6,B_cpu_x_gpu_grid,lit_3_5GHz,lit_1_6GHz,60,11113,+0.7,-10.3,-9.6,-8.1,+1.5,+0.1,-0.2,-0.3,ok
stream,C_cpu1.0_unc0.8,C_cpu_x_uncore_grid,lit_1_0GHz,lit_0_8GHz,150,11113,-68.3,+116.8,+48.6,+27.8,-20.8,+57.5,+58.5,+1.0,ok
stream,C_cpu1.0_unc1.6,C_cpu_x_uncore_grid,lit_1_0GHz,lit_1_6GHz,150,11113,-68.3,+16.6,-51.7,-64.6,-12.9,+1.7,+3.1,+1.3,ok
stream,C_cpu1.0_unc2.3,C_cpu_x_uncore_grid,lit_1_0GHz,lit_2_3GHz,150,11113,-68.3,-0.6,-68.8,-69.7,-0.9,+0.3,+0.0,-0.3,ok
stream,C_cpu2.0_unc0.8,C_cpu_x_uncore_grid,lit_2_0GHz,lit_0_8GHz,147,11113,-2.3,+116.8,+114.5,+93.2,-21.3,+57.2,+57.4,+0.2,ok
stream,C_cpu2.0_unc1.6,C_cpu_x_uncore_grid,lit_2_0GHz,lit_1_6GHz,120,11113,-2.3,+16.6,+14.3,-0.7,-15.0,+1.4,+1.5,+0.1,ok
stream,C_cpu2.0_unc2.3,C_cpu_x_uncore_grid,lit_2_0GHz,lit_2_3GHz,96,11113,-2.3,-0.6,-2.8,-5.0,-2.2,-0.0,-0.2,-0.2,ok
stream,C_cpu3.5_unc0.8,C_cpu_x_uncore_grid,lit_3_5GHz,lit_0_8GHz,90,11113,+0.7,+116.8,+117.5,+110.7,-6.8,+57.1,+56.7,-0.4,ok
stream,C_cpu3.5_unc1.6,C_cpu_x_uncore_grid,lit_3_5GHz,lit_1_6GHz,90,11113,+0.7,+16.6,+17.3,+12.0,-5.3,+1.3,+1.1,-0.2,ok
